input_curie	preferred_identifier	preferred_label	confidence	method	mapping_relation	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.1.1	UMLS:C1882127	Nutritional Intervention	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.1.1	Complementary_Dietary_Therapy	COMBO:1.1.1	hierarchy_backoff:ancestor=1.1:distance=1
COMBO:1.1.1.6	UMLS:C1882127	Nutritional Intervention	0.66	hierarchy_backoff_mapping	narrow_to_parent	1.1.1.6	Detox_Diet	COMBO:1.1.1.6	hierarchy_backoff:ancestor=1.1:distance=2
COMBO:1.1.1.8	UMLS:C1882127	Nutritional Intervention	0.66	hierarchy_backoff_mapping	narrow_to_parent	1.1.1.8	Raw_Food_Diet	COMBO:1.1.1.8	hierarchy_backoff:ancestor=1.1:distance=2
COMBO:1.1.7	UMLS:C1882127	Nutritional Intervention	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.1.7	Microbiome_Metabolite_Therapy	COMBO:1.1.7	hierarchy_backoff:ancestor=1.1:distance=1
COMBO:1.1.8	UMLS:C1882127	Nutritional Intervention	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.1.8	Food_Metabolite_Based_Therapy	COMBO:1.1.8	hierarchy_backoff:ancestor=1.1:distance=1
COMBO:1.1.14	UMLS:C1882127	Nutritional Intervention	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.1.14	Practitioner_Guided_Detoxification	COMBO:1.1.14	hierarchy_backoff:ancestor=1.1:distance=1
COMBO:1.2.6.2.1.1.2	UMLS:C0003827	Art_Therapy	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.2.6.2.1.1.2	Chinese_Calligraphy_Therapy	COMBO:1.2.6.2.1.1.2	hierarchy_backoff:ancestor=1.2.6.2.1.1:distance=1
COMBO:1.2.6.2.1.1.4	UMLS:C0003827	Art_Therapy	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.2.6.2.1.1.4	Mandala_Therapy	COMBO:1.2.6.2.1.1.4	hierarchy_backoff:ancestor=1.2.6.2.1.1:distance=1
COMBO:1.2.6.2.3.1	UMLS:C0026868	Music_Therapy	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.2.6.2.3.1	Musical_Game	COMBO:1.2.6.2.3.1	hierarchy_backoff:ancestor=1.2.6.2.3:distance=1
COMBO:1.2.6.2.5.1	UMLS:C0454043	Progressive_Muscle_Relaxation	0.72	hierarchy_backoff_mapping	narrow_to_parent	1.2.6.2.5.1	Abbreviated_Muscle_Relaxation_Therapy	COMBO:1.2.6.2.5.1	hierarchy_backoff:ancestor=1.2.6.2.5:distance=1
